phosphor	silver.n.02,light.n.03,pigment.n.01,toner.n.02,brass.n.05
homozygote	russulaceae.n.01,john_henry.n.01,zingiberaceae.n.01,copernicus.n.02,seismology.n.01
flavone	compound.n.03,gingerol.n.01,compound.n.01,alkaloid.n.01,glycoside.n.01
employable	pillars_of_hercules.n.01,oxonian.n.01,leaded_gasoline.n.01,aspirant.n.01,off-line_equipment.n.01
DDC	russulaceae.n.01,oriflamme.n.01,blastocladia.n.01,elamite.n.01,actinomycetaceae.n.01
zebibit	supercomputer.n.01,yak.n.02,tachogram.n.01,probe.n.02,time_signal.n.01
Bo_Hai	hydrology.n.01,airworthiness.n.01,silviculture.n.01,refractivity.n.01,biogeography.n.01
concentration_gradient	prajapati.n.01,russulaceae.n.01,calostomataceae.n.01,kachaturian.n.01,atrichornithidae.n.01
Saint_Teresa_of_Avila	audibility.n.01,speech_intelligibility.n.01,time-switch.n.01,lengthiness.n.02,load-shedding.n.01
Zulu	bantu.n.02,indian.n.01,achomawi.n.01,african.n.01,polynesian.n.01
alluvial_plain	alluvial_fan.n.01,terrorist_organization.n.01,national_park.n.01,artery.n.01,river.n.01
Gerard_Kuiper	toxotidae.n.01,tent-fly.n.01,pteroclididae.n.01,castoridae.n.01,russulaceae.n.01
Kumasi	city.n.01,african_country.n.01,national_capital.n.01,asian_country.n.01,plantation.n.02
Kuiper_belt	painter.n.01,physicist.n.01,geographical_area.n.01,astronomer.n.01,philosopher.n.01
Indus_civilization	violaceae.n.01,didelphidae.n.01,bangiaceae.n.01,belonidae.n.01,calostomataceae.n.01
homepage	podophyllum.n.01,popgun.n.01,diastole.n.01,jeroboam.n.02,asperula.n.01
Nefud	territory.n.02,region.n.03,region.n.01,peninsula.n.01,frontier.n.02
Levitra	archdiocese.n.01,pharmacy.n.01,city.n.01,town.n.01,roofing_paper.n.01
Boniface_VIII	mimidae.n.01,fulgoridae.n.01,genus_kohleria.n.01,fieldwork.n.01,beaked_hazelnut.n.01
George_V	icteridae.n.01,bangiaceae.n.01,russulaceae.n.01,teredinidae.n.01,monodontidae.n.01
corporatism	maxwell.n.02,kilohertz.n.01,elam.n.01,joshua.n.02,perihelion.n.01
Noah_and_the_Flood	shrub.n.01,river.n.01,city.n.01,tree.n.01,book.n.06
wittol	painter.n.01,knight.n.02,blanket.n.03,literalism.n.02,larkspur.n.01
folding_saw	picket.n.03,picket.n.05,painter.n.01,folding_door.n.01,sign.n.10
Hegelian	philosophical_doctrine.n.01,philosophy.n.02,theory.n.01,doctrine.n.01,formulation.n.03
salutatory	speech_intelligibility.n.01,acknowledgment.n.03,greeting.n.01,speech.n.02,introduction.n.01
private_citizen	person.n.01,agent.n.03,east-sider.n.01,member.n.01,important_person.n.01
webmaster	nurse_practitioner.n.01,recruiting-sergeant.n.01,licensed_practical_nurse.n.01,lionet.n.01,brother.n.05
coprolite	islamism.n.01,charleroi.n.01,hypocapnia.n.01,mazatlan.n.01,alexandria.n.01
loungewear	asperula.n.01,cymene.n.01,osiris.n.01,pyrophosphate.n.01,cedrus.n.01
pons_Varolii	shrub.n.01,subshrub.n.01,plant_order.n.01,herb.n.01,dicot_genus.n.01
portable_circular_saw	seventh.n.03,millennium.n.01,greek.n.01,east_africa.n.01,east_by_south.n.01
agamete	scanning.n.02,side_door.n.01,occupational_therapy.n.01,anti-takeover_defense.n.01,upper_respiratory_tract.n.01
stock-take	book.n.04,bill.n.04,inventory.n.03,fieldwork.n.01,book.n.02
dietary_supplement	spinal_vein.n.01,petroleum_geology.n.01,street.n.01,material.n.05,artery.n.01
Salmon_P._Chase	peristalsis.n.01,gracelessness.n.01,aphesis.n.01,joylessness.n.01,gulping.n.02
didacticism	belittling.n.02,sensationalism.n.02,impertinence.n.03,unoriginality.n.01,scatology.n.02
acrylonitrile-butadiene-styrene	aluminum_hydroxide.n.01,vertical_stabilizer.n.01,plastic.n.01,sugar_maple.n.01,synthetic_resin.n.01
St._James	bangiaceae.n.01,dead_sea.n.01,didelphidae.n.01,violaceae.n.01,occupational_therapy.n.01
fictitious_name	libel.n.01,name.n.02,name.n.04,name.n.01,hat.n.02
MPEG	production.n.05,production.n.08,group.n.02,cryptanalysis.n.01,fingerprinting.n.01
NGA	holonymy.n.01,lubavitch.n.02,prajapati.n.01,cytomegalovirus.n.01,vancouver_island.n.01
devotional	recitation.n.02,practice.n.03,offertory.n.02,hunting_season.n.01,prayer.n.02
intermediate_vector_boson	convallariaceae.n.01,genus_eriogonum.n.01,icteridae.n.01,testudinidae.n.01,homecourt_advantage.n.01
Midrash	exegete.n.01,sacred_text.n.01,talmudic_literature.n.01,philosopher.n.01,historian.n.01
vestiture	crest.n.01,insignia.n.01,emblem.n.01,structure.n.04,decoration.n.01
co-beneficiary	pargeting.n.03,seismology.n.01,cryptanalysis.n.01,reading.n.08,rob_roy.n.02
Guantanamo_Bay	director-stockholder_relation.n.01,analogist.n.01,schiller.n.01,seismology.n.01,seismologist.n.01
curly_pondweed	strelitzia.n.01,aster.n.02,subshrub.n.01,periwinkle.n.04,shrub.n.01
Lut_Desert	range.n.04,peninsula.n.01,geographical_area.n.01,lake.n.01,region.n.03
Gregory_the_Great	mesocarp.n.01,metarule.n.01,schizaeaceae.n.01,workboard.n.01,stenograph.n.01
Uub	supercomputer.n.01,finnbogadottir.n.01,visual_display_unit.n.01,ball_bearing.n.01,airframe.n.01
Charles_Townes	travel_expense.n.01,risk.n.03,territorialization.n.01,territory.n.02,asynergy.n.01
rheometer	electromyograph.n.01,seismology.n.01,oscillograph.n.01,vulcanizer.n.01,tachogram.n.01
Mbeya	yak.n.02,african_country.n.01,ward.n.05,sudan.n.02,mombasa.n.01
title_bar	actinomycetaceae.n.01,icteridae.n.01,calostomataceae.n.01,psittacidae.n.01,cecropiaceae.n.01
Rudolf_Steiner	otitis_externa.n.01,russulaceae.n.01,didelphidae.n.01,belonidae.n.01,gonorhynchidae.n.01
Sukkoth	week.n.02,period.n.02,set.n.12,set.n.08,ward.n.05
euthenics	kirkia.n.01,malcolmia.n.01,texas_storksbill.n.01,check_register.n.01,definite_integral.n.01
eulogium	acknowledgment.n.03,exclamation.n.02,greeting.n.01,sincerity.n.03,farewell.n.01
posthouse	striped_skunk.n.01,rocketry.n.01,kursk.n.01,kachaturian.n.01,seismology.n.01
Golfo_de_Campeche	peninsula.n.01,state.n.02,geographical_area.n.01,archipelago.n.01,river.n.01
reverse_lightning	primulales.n.01,lennoaceae.n.01,zambezi.n.01,trimipramine.n.01,ciconiiformes.n.01
ashram	community.n.06,community.n.02,shantytown.n.01,ward.n.05,sect.n.01
sudatorium	seismologist.n.01,signal.n.02,seismology.n.01,flashover.n.01,stationmaster.n.01
dry-wood_termite	pulp.n.02,pulp.n.04,grinder.n.04,vermin.n.02,dairy.n.01
Sir_Arthur_Travers_Harris	primulales.n.01,grossulariaceae.n.01,pteroclididae.n.01,toxotidae.n.01,tropaeolaceae.n.01
Great_Salt_Desert	self-induction.n.02,actinomycetaceae.n.01,clupeidae.n.01,lepidoptera.n.01,ascomycetes.n.01
tirolean	french.n.03,italian.n.01,saracen.n.03,ardennes.n.01,persian.n.02
alluvial_flat	alluvial_fan.n.01,artery.n.01,tree.n.01,disease.n.01,semicircular_canal.n.01
National_Science_Foundation	united_nations_agency.n.01,national_monument.n.01,system.n.08,board.n.01,executive_department.n.01
Licinius_Lucullus	rebutter.n.02,toastrack.n.01,dog_breeding.n.01,stenograph.n.01,ticket_book.n.01
foppishness	impertinence.n.03,flamboyance.n.01,exuberance.n.01,gracelessness.n.01,inelegance.n.01
medusoid	phylum.n.02,coelenterate.n.01,zooid.n.01,laticifer.n.01,calyptra.n.01
Urim_and_Thummim	zaire.n.01,evansville.n.01,birr.n.01,territorialization.n.01,cruzeiro.n.01
snowboard	jeroboam.n.02,shiva.n.01,kilohertz.n.01,compline.n.01,hysteroscopy.n.01
Frans_Hals	king_of_england.n.01,edward_ii.n.01,king_of_france.n.01,king.n.01,holy_roman_emperor.n.01
splenius_muscle	testudinidae.n.01,mimidae.n.01,martyniaceae.n.01,eurylaimidae.n.01,blennioidea.n.01
cosmetology	fossa.n.02,tetraneuris.n.01,carpospore.n.01,sulfisoxazole.n.01,trimipramine.n.01
vitrine	islamism.n.01,r-2.n.01,rochester.n.02,reef_squirrelfish.n.01,du_barry.n.01
theosophism	swamp_rabbit.n.02,rose_pink.n.01,barstow.n.01,smooth_plane.n.01,toastrack.n.01
Edward_IV	emperor_penguin.n.01,holy_roman_emperor.n.01,emperor.n.01,painter.n.01,king.n.01
catalectic	russulaceae.n.01,zingiberaceae.n.01,athiorhodaceae.n.01,joel.n.02,john_henry.n.01
caulking	fitting.n.04,job.n.12,patching.n.01,lining.n.04,sheetrock.n.01
Llewelyn_Powys	counselorship.n.01,inapplicability.n.01,director-stockholder_relation.n.01,mimidae.n.01,final_examination.n.01
Canton_River	play_reading.n.01,grossulariaceae.n.01,didelphidae.n.01,loathsomeness.n.01,bangiaceae.n.01
thermochemistry	physics.n.01,chemistry.n.01,mass_number.n.01,photochemistry.n.01,valency.n.01
zymology	greenhouse_whitefly.n.01,hepatitis_c.n.01,zambezi.n.01,russulaceae.n.01,black_locust.n.02
vaporizer	charleroi.n.01,tunis.n.01,tewkesbury.n.01,bretagne.n.01,sevilla.n.01
archaist	arch.n.03,graffito.n.01,anastomotic_vein.n.01,beginning.n.03,arch.n.04
Gabriello_Fallopio	national_capital.n.01,city.n.01,painter.n.01,physicist.n.01,composer.n.01
Zbit	people.n.01,group.n.01,person.n.01,time_period.n.01,collection.n.01
Tripoli	embassy.n.01,city.n.01,territory.n.02,army.n.01,goncourt.n.02
KP	septuagint.n.01,cruzeiro.n.01,cuvier.n.01,ptolemy.n.01,copernicus.n.02
filthy_lucre	grass.n.01,vine.n.01,shrub.n.01,parcheesi.n.01,mallow.n.01
duodecimal_system	fredericksburg.n.01,ardennes.n.01,strawberry_blite.n.01,swamp_rabbit.n.02,brescia.n.01
Syrian_Desert	monetary_unit.n.01,iranian_monetary_unit.n.01,german_ivy.n.01,asian.n.01,libyan_monetary_unit.n.01
